Data,Amount,Category,Payment Method,Description
2023-12-27,191.16,Utilities,Bank transfer,Although sometimes tell current should agree.
2024-01-21,126.78,Transport,Dedit card,Give senior for seat.
2024-01-24,117.58,Transport,Dedit card,Monthly bus pass
2024-01-24,82.49,Health care,Credit card,Early pull himself street form real course.
2024-02-02,83.73,Health care,Credit card,Pharmacy visit
2024-01-03,66.63,Health care,Credit card,Mind traditional leave another result only.
2024-01-01,57.46,Groceries,Credit card,Fruits and vegetables
2024-01-12,196.71,Utilities,Bank transfer,Electricity bill
2024-01-11,195.37,Utilities,Bank transfer,Rock often record owner along benefit.
2024-02-04,77.86,Health care,Credit card,Pharmacy visit
2024-01-24,54.84,Groceries,Credit card,Fruits and vegetables
2024-01-11,113.31,Transport,Dedit card,Light participant next decide open.
2023-12-25,207.84,Utilities,Bank transfer,Electricity bill
2024-01-10,55.95,Groceries,Credit card,Fruits and vegetables
2024-01-02,209.39,Utilities,Bank transfer,Electricity bill
2024-01-08,70.93,Health care,Credit card,Free sell price exist end.
2024-01-01,33.98,Entertainment,Cash,Finally education cover radio option.
2023-12-16,121.53,Transport,Dedit card,Prevent possible song daughter sense hundred.
2023-12-08,41.59,Groceries,Credit card,Happen boy write top leader hour.
2023-12-19,69.94,Health care,Credit card,Pharmacy visit
2023-12-24,123.20,Transport,Dedit card,Monthly bus pass
2023-12-22,199.28,Utilities,Bank transfer,Electricity bill
2023-12-19,43.59,Groceries,Credit card,Organization shoulder carry.
2024-02-03,205.45,Utilities,Bank transfer,Electricity bill
2023-12-08,56.36,Groceries,Credit card,Fruits and vegetables
2024-01-24,192.29,Utilities,Bank transfer,Never wall summer deep decision throughout compare.
2023-12-15,56.13,Groceries,Credit card,On avoid authority.
2023-12-17,46.66,Groceries,Credit card,Do stuff color become.
2024-01-30,203.75,Utilities,Bank transfer,Electricity bill
2024-01-20,200.99,Utilities,Bank transfer,Electricity bill
2023-12-30,115.46,Transport,Dedit card,Monthly bus pass
2023-12-04,40.40,Groceries,Credit card,Fruits and vegetables
2023-12-06,125.34,Transport,Dedit card,Claim pretty choose remain money office.
2024-01-31,25.37,Entertainment,Cash,Movie night
2024-01-31,120.89,Transport,Dedit card,Monthly bus pass
2023-12-10,117.01,Transport,Dedit card,Physical fight population so politics fly.
2023-12-13,49.40,Groceries,Credit card,While number start score.
2024-01-24,191.38,Utilities,Bank transfer,Electricity bill
2023-12-16,121.47,Transport,Dedit card,Monthly bus pass
2024-02-01,207.77,Utilities,Bank transfer,Product gas line evidence crime.
2023-12-24,118.93,Transport,Dedit card,Monthly bus pass
2023-12-19,199.03,Utilities,Bank transfer,Respond current everybody answer no trial.
2023-12-31,38.95,Entertainment,Cash,Movie night
2024-01-25,52.97,Groceries,Credit card,Fruits and vegetables
2023-12-17,70.26,Health care,Credit card,About minute international list only.
2024-01-08,73.52,Health care,Credit card,War popular pressure various.
2024-01-10,208.36,Utilities,Bank transfer,Electricity bill
2023-12-21,72.60,Health care,Credit card,Order they take outside.
2024-01-28,121.76,Transport,Dedit card,Monthly bus pass
2024-01-29,75.63,Health care,Credit card,Pharmacy visit
2023-12-19,39.62,Entertainment,Cash,Movie night
2023-12-21,28.97,Entertainment,Cash,Movie night
2023-12-24,120.17,Transport,Dedit card,Pressure which tell anything.
2024-01-11,121.19,Transport,Dedit card,See actually second short leg.
2023-12-30,47.96,Groceries,Credit card,Wrong wish beyond.
2023-12-11,55.90,Groceries,Credit card,Fruits and vegetables
2023-12-11,55.03,Groceries,Credit card,Race collection yet air.
2023-12-29,68.72,Health care,Credit card,Pharmacy visit
2024-02-01,21.42,Entertainment,Cash,Eat top health.
2024-01-28,198.67,Utilities,Bank transfer,Number several blood world.
2023-12-05,195.41,Utilities,Bank transfer,Image they safe indeed.
2024-02-01,31.63,Entertainment,Cash,Tell life help federal.
2023-12-27,39.07,Entertainment,Cash,Movie night
2023-12-04,113.08,Transport,Dedit card,Monthly bus pass
2023-12-15,43.31,Groceries,Credit card,Fruits and vegetables
2024-01-31,65.07,Health care,Credit card,Pharmacy visit
2023-12-26,191.72,Utilities,Bank transfer,Loss heart itself soldier.
2024-01-13,195.93,Utilities,Bank transfer,Control fill again bank prevent serve.
2023-12-20,54.57,Groceries,Credit card,Lot design produce week either.
2023-12-12,42.67,Groceries,Credit card,Fruits and vegetables
2024-01-14,59.98,Groceries,Credit card,Her board radio up.
2023-12-11,37.45,Entertainment,Cash,Movie night
2023-12-27,124.78,Transport,Dedit card,Monthly bus pass
2023-12-20,57.09,Groceries,Credit card,Fruits and vegetables
2023-12-15,37.76,Entertainment,Cash,Bill lay enough.
2024-01-26,53.29,Groceries,Credit card,High occur follow.
2023-12-04,51.72,Groceries,Credit card,Film white develop painting.
2024-01-01,113.29,Transport,Dedit card,Monthly bus pass
2024-01-01,22.66,Entertainment,Cash,Property prove tree story travel.
2023-12-30,192.48,Utilities,Bank transfer,Yes statement opportunity.
2023-12-26,57.39,Groceries,Credit card,Fruits and vegetables
2023-12-14,36.51,Entertainment,Cash,Home low lot store.
2023-12-09,36.91,Entertainment,Cash,Movie night
2023-12-08,26.44,Entertainment,Cash,Movie night
2024-01-05,50.47,Groceries,Credit card,Church public couple example information whose.
2023-12-09,47.97,Groceries,Credit card,Fruits and vegetables
2024-01-07,27.88,Entertainment,Cash,Movie night
2024-01-03,27.07,Entertainment,Cash,Movie night
2023-12-29,195.50,Utilities,Bank transfer,Avoid environment speak free rich culture.
2024-01-14,112.67,Transport,Dedit card,When campaign into issue teach involve.
2024-01-19,207.16,Utilities,Bank transfer,Electricity bill
2023-12-16,77.62,Health care,Credit card,Pharmacy visit
2024-02-04,71.08,Health care,Credit card,While reduce difference look type.
2023-12-07,121.98,Transport,Dedit card,Visit benefit benefit parent their source.
2024-01-25,119.30,Transport,Dedit card,Monthly bus pass
2024-01-28,76.67,Health care,Credit card,Pharmacy visit
2024-01-08,120.13,Transport,Dedit card,Agent long picture nature matter.
2024-01-28,27.42,Entertainment,Cash,If event better.
2023-12-07,59.76,Groceries,Credit card,Fruits and vegetables
2023-12-21,20.88,Entertainment,Cash,Movie night
2023-12-04,110.09,Transport,Dedit card,Process rock couple.
2023-12-24,50.53,Groceries,Credit card,However base worry week.
2024-01-25,123.45,Transport,Dedit card,Monthly bus pass
2024-02-01,118.46,Transport,Dedit card,Monthly bus pass
2024-01-09,121.72,Transport,Dedit card,Thousand back best great until me.
2024-01-20,208.32,Utilities,Bank transfer,Federal specific beautiful.
2023-12-06,29.47,Entertainment,Cash,Federal blue save tax tend.
2023-12-26,119.91,Transport,Dedit card,Spend along year sometimes.
2023-12-05,120.47,Transport,Dedit card,Would such again same fight believe.
2024-01-11,44.23,Groceries,Credit card,Fruits and vegetables
2023-12-12,39.29,Entertainment,Cash,Movie night
2024-01-27,29.82,Entertainment,Cash,Major scene have.
2024-01-30,122.86,Transport,Dedit card,Monthly bus pass
2023-12-28,126.71,Transport,Dedit card,Difficult office computer.
2024-01-04,82.23,Health care,Credit card,Pharmacy visit
2024-01-15,82.34,Health care,Credit card,Long we yes.
2023-12-27,75.08,Health care,Credit card,Pharmacy visit
2024-01-21,208.02,Utilities,Bank transfer,Consider policy its cut soldier little.
2023-12-28,74.14,Health care,Credit card,Pharmacy visit
2023-12-19,129.99,Transport,Dedit card,Blood heart follow.
2024-01-07,72.00,Health care,Credit card,Pharmacy visit
2024-01-25,118.89,Transport,Dedit card,Large time alone level nature.
2024-01-25,119.18,Transport,Dedit card,Monthly bus pass
2024-01-10,45.50,Groceries,Credit card,Fruits and vegetables
2023-12-14,83.27,Health care,Credit card,Against senior off case paper.
2023-12-07,33.83,Entertainment,Cash,Raise behind want teach.
2023-12-18,207.56,Utilities,Bank transfer,Electricity bill
2023-12-05,117.10,Transport,Dedit card,Monthly bus pass
2024-01-24,208.28,Utilities,Bank transfer,Nor especially building whatever offer.
2023-12-29,38.11,Entertainment,Cash,Project never play.
2023-12-17,44.47,Groceries,Credit card,Fruits and vegetables
2024-01-18,69.96,Health care,Credit card,Wear west similar interview I.
2023-12-19,123.36,Transport,Dedit card,Monthly bus pass
2024-01-03,129.71,Transport,Dedit card,Fill south quality.
2024-01-22,35.05,Entertainment,Cash,Design plan store ten two not.
2024-01-21,126.23,Transport,Dedit card,Monthly bus pass
2023-12-04,119.81,Transport,Dedit card,Monthly bus pass
2024-01-17,120.18,Transport,Dedit card,Spring specific become force.
2023-12-04,54.86,Groceries,Credit card,Mention party may day star.
2023-12-31,82.96,Health care,Credit card,Pharmacy visit
2023-12-11,78.73,Health care,Credit card,Pharmacy visit
2024-01-19,59.98,Groceries,Credit card,Important would lose figure road.
2023-12-09,55.91,Groceries,Credit card,Fruits and vegetables
2023-12-08,33.50,Entertainment,Cash,Want eight daughter room.
2024-01-17,49.14,Groceries,Credit card,Area soon before million.
2024-01-01,207.67,Utilities,Bank transfer,Electricity bill
2023-12-20,70.39,Health care,Credit card,Pharmacy visit
2024-01-04,120.94,Transport,Dedit card,Capital another support once reality American.
2024-01-11,49.46,Groceries,Credit card,Fruits and vegetables
2024-01-14,73.19,Health care,Credit card,Firm language money.
2024-01-18,41.89,Groceries,Credit card,Cultural its although hope issue.
2024-01-23,203.57,Utilities,Bank transfer,Electricity bill
2023-12-30,28.35,Entertainment,Cash,Movie night
2023-12-18,196.67,Utilities,Bank transfer,Electricity bill
2024-01-01,208.23,Utilities,Bank transfer,Electricity bill
2023-12-19,37.23,Entertainment,Cash,Movie night
2024-01-07,192.30,Utilities,Bank transfer,Electricity bill
2024-01-12,41.12,Groceries,Credit card,Fruits and vegetables
2023-12-07,78.91,Health care,Credit card,Reach future front bag technology.
2024-01-26,54.25,Groceries,Credit card,City agreement these job.
2023-12-06,35.64,Entertainment,Cash,Movie night
2023-12-05,59.34,Groceries,Credit card,Method deal director.
2024-01-31,121.99,Transport,Dedit card,Able though turn newspaper finish final.
2023-12-17,200.01,Utilities,Bank transfer,Electricity bill
2024-01-04,112.95,Transport,Dedit card,Monthly bus pass
2023-12-29,55.20,Groceries,Credit card,Fruits and vegetables
2024-01-13,204.97,Utilities,Bank transfer,Electricity bill
2023-12-28,194.15,Utilities,Bank transfer,Electricity bill
2024-01-31,129.90,Transport,Dedit card,Position computer wonder.
2023-12-13,195.23,Utilities,Bank transfer,Health perhaps us fill send PM.
2023-12-27,120.15,Transport,Dedit card,Whom add everything account inside feeling.
2023-12-18,29.56,Entertainment,Cash,Movie night
2023-12-04,117.72,Transport,Dedit card,Monthly bus pass
2023-12-20,207.13,Utilities,Bank transfer,Electricity bill
2023-12-05,37.18,Entertainment,Cash,Loss traditional image worry know.
2024-01-25,82.21,Health care,Credit card,Pharmacy visit
2024-01-13,114.30,Transport,Dedit card,Monthly bus pass
2024-01-28,110.45,Transport,Dedit card,Monthly bus pass
2024-01-24,45.54,Groceries,Credit card,Fruits and vegetables
2023-12-09,55.08,Groceries,Credit card,Show word vote role wall.
2023-12-16,207.29,Utilities,Bank transfer,Process both house.
2024-01-13,72.62,Health care,Credit card,Grow let wrong main good great.
2024-01-20,120.51,Transport,Dedit card,Become PM far value them hit.
2023-12-20,58.23,Groceries,Credit card,Fruits and vegetables
2024-01-15,205.75,Utilities,Bank transfer,Claim knowledge forward.
2024-01-24,46.81,Groceries,Credit card,Us thank quickly realize after.
2023-12-28,83.26,Health care,Credit card,Pharmacy visit
2023-12-22,198.60,Utilities,Bank transfer,Garden win imagine big wife.
2024-01-06,196.29,Utilities,Bank transfer,Capital fact then ahead.
2023-12-09,36.72,Entertainment,Cash,Movie night
2023-12-22,200.96,Utilities,Bank transfer,Electricity bill
2024-01-27,119.43,Transport,Dedit card,Monthly bus pass
2023-12-07,190.47,Utilities,Bank transfer,Majority two loss.
2024-01-14,195.87,Utilities,Bank transfer,Fast class list.
2024-01-30,22.00,Entertainment,Cash,Movie night
2024-02-01,208.05,Utilities,Bank transfer,A wear clearly.
2024-01-29,75.59,Health care,Credit card,Pharmacy visit
2024-01-01,68.69,Health care,Credit card,Pharmacy visit
2024-01-25,190.50,Utilities,Bank transfer,Couple suggest season however outside.
2023-12-18,194.03,Utilities,Bank transfer,Certainly push inside.
2023-12-13,81.77,Health care,Credit card,Station test gun program too.
2024-01-16,54.69,Groceries,Credit card,Some newspaper consumer organization really.
2023-12-10,24.73,Entertainment,Cash,Movie night
2023-12-28,203.40,Utilities,Bank transfer,Without environmental bag quite radio carry.
2024-01-24,79.82,Health care,Credit card,Card discover senior.
2023-12-11,207.25,Utilities,Bank transfer,Appear art great gun.
2023-12-16,80.40,Health care,Credit card,Behind subject minute phone window.
2023-12-31,123.04,Transport,Dedit card,Monthly bus pass
2023-12-26,127.98,Transport,Dedit card,Monthly bus pass
2023-12-08,203.53,Utilities,Bank transfer,Electricity bill
2023-12-06,74.29,Health care,Credit card,Pharmacy visit
2024-01-27,43.89,Groceries,Credit card,Fruits and vegetables
2024-01-06,26.07,Entertainment,Cash,Together about but perhaps billion stage.
2024-01-17,23.70,Entertainment,Cash,Movie night
2023-12-17,200.79,Utilities,Bank transfer,Official never social environmental.
2023-12-17,34.41,Entertainment,Cash,Nation seek heart.
2023-12-08,74.30,Health care,Credit card,Pharmacy visit
2024-01-22,82.72,Health care,Credit card,Own per score question.
2023-12-08,33.68,Entertainment,Cash,Cover human low.
2024-01-18,194.24,Utilities,Bank transfer,Electricity bill
2024-01-08,49.41,Groceries,Credit card,Order store anyone performance.
2024-01-19,81.44,Health care,Credit card,Opportunity staff shoulder.
2023-12-27,38.35,Entertainment,Cash,Movie night
2023-12-30,110.50,Transport,Dedit card,Entire air hand rich.
2024-01-20,48.10,Groceries,Credit card,Fruits and vegetables
2023-12-13,26.42,Entertainment,Cash,Movie night
2023-12-30,81.35,Health care,Credit card,Pharmacy visit
2024-01-16,32.20,Entertainment,Cash,Appear dinner suffer data cut once.
2024-01-21,24.17,Entertainment,Cash,Role college throw you eye box.
2024-01-25,48.33,Groceries,Credit card,No task believe performance inside.
2023-12-15,54.81,Groceries,Credit card,Guess run anything dark.
2024-01-05,196.18,Utilities,Bank transfer,Electricity bill
2023-12-12,42.60,Groceries,Credit card,Both too agree.
2024-01-13,20.37,Entertainment,Cash,North thank anything get appear north.
2023-12-31,47.61,Groceries,Credit card,Standard author begin voice.
2023-12-27,39.16,Entertainment,Cash,Movie night
2023-12-08,126.49,Transport,Dedit card,Rest rich billion scene hospital your.
2024-01-29,41.05,Groceries,Credit card,Fruits and vegetables
2024-01-06,205.26,Utilities,Bank transfer,Electricity bill
2024-01-08,32.32,Entertainment,Cash,Movie night
2023-12-20,197.63,Utilities,Bank transfer,Electricity bill
2024-01-12,114.75,Transport,Dedit card,About myself red.
2023-12-21,38.30,Entertainment,Cash,Wind smile available.
2023-12-19,49.64,Groceries,Credit card,Feeling dream too public child concern.
2023-12-09,44.46,Groceries,Credit card,Oil then read miss.
2023-12-15,67.60,Health care,Credit card,Pharmacy visit
2023-12-21,57.98,Groceries,Credit card,Fruits and vegetables
2023-12-15,21.85,Entertainment,Cash,Movie night
2023-12-27,201.50,Utilities,Bank transfer,My apply many best later.
2023-12-09,76.15,Health care,Credit card,Pharmacy visit
2024-01-19,21.98,Entertainment,Cash,Against property kind line relate money.
2024-01-19,203.81,Utilities,Bank transfer,Physical talk whom.
2023-12-29,200.39,Utilities,Bank transfer,Electricity bill
2024-01-23,120.18,Transport,Dedit card,Board stand participant good property.
2024-01-03,116.99,Transport,Dedit card,Team short major spend.
2024-01-18,59.46,Groceries,Credit card,Too religious customer physical rest.
2024-01-18,30.43,Entertainment,Cash,Movie night
2023-12-09,78.53,Health care,Credit card,Identify smile project.
2023-12-31,21.31,Entertainment,Cash,Movie night
2023-12-16,50.09,Groceries,Credit card,Fruits and vegetables
2024-01-22,205.73,Utilities,Bank transfer,Electricity bill
2023-12-24,114.52,Transport,Dedit card,Monthly bus pass
2024-01-16,199.01,Utilities,Bank transfer,Decade treat majority.
2024-01-30,195.26,Utilities,Bank transfer,Fly black pull.
2024-01-18,202.71,Utilities,Bank transfer,Electricity bill
2023-12-30,65.09,Health care,Credit card,Serve address safe case second yeah.
2023-12-14,119.70,Transport,Dedit card,Two pretty sound pattern up.
2024-01-30,111.05,Transport,Dedit card,Speech tree fly authority push.
2023-12-29,53.11,Groceries,Credit card,Fruits and vegetables
2024-01-03,200.27,Utilities,Bank transfer,Major stand own mission half.
2023-12-25,41.41,Groceries,Credit card,Fruits and vegetables
2024-01-17,195.66,Utilities,Bank transfer,Electricity bill
2024-01-17,41.40,Groceries,Credit card,Fruits and vegetables
2023-12-11,40.06,Groceries,Credit card,Fruits and vegetables
2023-12-24,41.86,Groceries,Credit card,Fruits and vegetables
2024-01-17,59.54,Groceries,Credit card,Fruits and vegetables
2023-12-25,126.50,Transport,Dedit card,Home together describe.
2023-12-18,20.16,Entertainment,Cash,Movie night
2024-01-23,37.01,Entertainment,Cash,Movie night
2023-12-13,25.12,Entertainment,Cash,Movie night
2024-01-03,43.03,Groceries,Credit card,Method occur concern drive.
2024-01-11,205.17,Utilities,Bank transfer,Near while candidate.
2024-01-30,207.43,Utilities,Bank transfer,Prove hair organization drop over far.
2024-01-27,196.96,Utilities,Bank transfer,Electricity bill
2024-01-24,116.94,Transport,Dedit card,Value rate question unit forget win.
2023-12-13,67.19,Health care,Credit card,You visit dog.
2024-01-27,78.10,Health care,Credit card,Local short difficult.
2023-12-22,202.28,Utilities,Bank transfer,Reason year piece accept two.
2023-12-14,34.95,Entertainment,Cash,Movie night
2024-01-01,49.85,Groceries,Credit card,Some president note result consider.
2023-12-09,67.01,Health care,Credit card,Pharmacy visit
2023-12-15,32.77,Entertainment,Cash,Opportunity across training.
2023-12-20,73.32,Health care,Credit card,Pharmacy visit
2024-01-13,22.90,Entertainment,Cash,Movie night
2023-12-06,119.76,Transport,Dedit card,Monthly bus pass
2023-12-16,46.27,Groceries,Credit card,Fruits and vegetables
2023-12-21,20.64,Entertainment,Cash,Movie night
2024-01-23,28.33,Entertainment,Cash,Movie night
2024-01-30,26.35,Entertainment,Cash,Available door certainly.
2023-12-10,33.26,Entertainment,Cash,Spend various race role class trip.
2024-01-02,20.68,Entertainment,Cash,Benefit but machine tax let force.
2023-12-21,208.07,Utilities,Bank transfer,Only throw knowledge daughter nor.
2024-01-25,39.64,Entertainment,Cash,Tonight outside rise information.
2023-12-13,194.92,Utilities,Bank transfer,Electricity bill
2024-01-30,51.42,Groceries,Credit card,Fruits and vegetables
2023-12-18,123.39,Transport,Dedit card,Monthly bus pass
2023-12-10,203.51,Utilities,Bank transfer,Electricity bill
2024-01-06,76.17,Health care,Credit card,Available series both show only simply.
2024-01-03,207.40,Utilities,Bank transfer,Open song would.
2024-01-02,204.26,Utilities,Bank transfer,Electricity bill
2024-01-24,79.68,Health care,Credit card,Pharmacy visit
2024-01-05,124.12,Transport,Dedit card,Environment standard player.
2024-01-01,51.12,Groceries,Credit card,His send we but spend will.
2024-01-11,42.94,Groceries,Credit card,Leg until family.
2024-01-24,26.90,Entertainment,Cash,Movie night
2024-01-01,203.74,Utilities,Bank transfer,Electricity bill
2023-12-14,190.32,Utilities,Bank transfer,Electricity bill
2023-12-29,78.92,Health care,Credit card,Born politics lot attack quite threat.
2024-01-31,73.62,Health care,Credit card,Degree join fast.
2023-12-08,43.92,Groceries,Credit card,Picture theory fly.
2024-01-27,45.77,Groceries,Credit card,Herself act send moment main.
2024-01-11,110.26,Transport,Dedit card,Can simply work after Democrat son.
2023-12-21,25.03,Entertainment,Cash,Movie night
2023-12-16,42.00,Groceries,Credit card,Sport let level institution fish relationship.
2024-01-06,20.03,Entertainment,Cash,Movie night
2023-12-30,79.82,Health care,Credit card,Pharmacy visit
2024-01-11,128.43,Transport,Dedit card,Drive any affect.
2023-12-16,202.48,Utilities,Bank transfer,Chance open off.
2023-12-29,29.06,Entertainment,Cash,Other lot tree manage.
2024-01-09,42.99,Groceries,Credit card,Fruits and vegetables
2023-12-11,191.88,Utilities,Bank transfer,So Mrs open.
2024-01-01,193.43,Utilities,Bank transfer,Electricity bill
2024-01-10,192.89,Utilities,Bank transfer,Electricity bill
2024-01-22,79.61,Health care,Credit card,Pharmacy visit
2024-01-27,76.10,Health care,Credit card,Word clear sea agree.
2023-12-12,201.61,Utilities,Bank transfer,Will animal sign.
